Company ID,Company Name,Branch ID,Street Address,City,State,Postal Code,License Number,License Name
1008832,"Sarma Collections, Inc.",,555 E. Ramsey ,San Antonio,TX,78216,DC1008832,MA Debt Collector
1133332,"Seattle Service Bureau, Inc.",,18912 North Creek Parkway Suite 205,Bothell,WA,98011,DC1133332,MA Debt Collector
1133332,"Seattle Service Bureau, Inc.",2112971,6409 Parkland Dr Ste 101,Sarasota,FL,34243,DC1133332,MA Debt Collector
998772,Second Round Limited Partnership,,1701 Directors Blvd Suite 900 ,Austin,TX,78744,DC998772,MA Debt Collector
1009856,"Security Credit Services, LLC",,306 Enterprise Drive ,Oxford,MS,38655,DC1009856,MA Debt Collector
934921,"Security Credit Systems, Inc.",,100 River Rock Drive Suite 200,Buffalo,NY,14207,DC110954-103,MA Debt Collector
3114,"Select Portfolio Servicing, Inc.",,3217 South Decker Lake Drive ,West Valley City,UT,84119,DC0624,MA Debt Collector
3114,"Select Portfolio Servicing, Inc.",20724,"10401 Deerwood Park Blvd. Building 2, 2nd Floor",Jacksonville,FL,32256,DC3114,MA Debt Collector
6312,Selene Finance LP,,"3501 Olympus Blvd. Suite 500, 5th Floor",Dallas,TX,75019,DC6312,MA Debt Collector
6312,Selene Finance LP,333072,8201 Cypress Plaza Drive ,Jacksonville,FL,32256,DC6312,MA Debt Collector
6312,Selene Finance LP,2184452,"10808 S. River Front Parkway, Suite 200",South Jordan,UT,84095,DC6312,MA Debt Collector
41578,Seneca Mortgage Servicing LLC,,"48 South Main Street, Suite 1 ",Newtown,CT,06470,DC1255,MA Debt Collector
928908,"Sentry Credit, Inc",,2809 Grand Ave ,Everett,WA,98201,DC0981,MA Debt Collector
1535231,"Sequium Asset Solutions, LLC",,1130 Northchase Parkway Suite 150,Marietta,GA,30067,DC1535231,MA Debt Collector
1416616,"Sequoia Concepts, Inc.",,"28632 Roadside Drive, Suite 115 ",Agoura Hills,CA,91301,DC1416616,MA Debt Collector
140908,"Service Finance Company, LLC",,555 South Federal Highway Suite 200,Boca Raton,FL,33432,DC140908,MA Debt Collector
1687766,"ServiceMac, LLC",,"9726 Old Bailes Road, Suite 200 ",Fort Mill,SC,29707,DC1687766,MA Debt Collector
38078,"Servis One, Inc.",,4200 Regent Blvd Suite B200 ,Irving,TX,75063,DC112167-100,MA Debt Collector
38078,"Servis One, Inc.",126672,314 S. Franklin Street ,Titusville,PA,16354,DC112167-101,MA Debt Collector
38078,"Servis One, Inc.",137661,11350 McCormick Road Ste 903,Hunt Valley,MD,21031,DC112167-102,MA Debt Collector
1788,"Sierra Pacific Mortgage Company, Inc.",,"950 Glenn Drive, Suite 150 ",Folsom,CA,95630,DC1205,MA Debt Collector
934292,"SIMM Associates, Inc.",,800 Pencader Drive ,Newark,DE,19702,DC0889,MA Debt Collector
149169,"Siwell, Inc.",,4212 50th Street ,Lubbock,TX,79413,DC149169,MA Debt Collector
5985,SN Servicing Corporation,,13702 Coursey Boulevard Building 1A,Baton Rouge,LA,70817,DC5985,MA Debt Collector
5985,SN Servicing Corporation,9785,323 Fifth Street ,Eureka,CA,95501,DC5985,MA Debt Collector
906134,"Source Receivables Management, LLC",,"4615 Dundas Drive, Suite 102 ",Greensboro,NC,27407,DC906134,MA Debt Collector
266274,"Sourcepoint, Inc.",,2330 Commerce Park Drive NE Suite 2,Palm Bay,FL,32905,DC266274,MA Debt Collector
266274,"Sourcepoint, Inc.",1584904,"No. 33 Old Mahabalipuram Road Navallur Village and Panchayat, Thiruporur Taluk","Chengalpet District, Chennai",,600130,DC266274,MA Debt Collector
266274,"Sourcepoint, Inc.",1729005,"22nd Floor, Century Diamond Towers Kalayaan Ave. cor, Salamanca St., Barangay",Makati City,,01200,DC266274,MA Debt Collector
948398,"Southwest Credit Systems, LP",,"4120 International Parkway, Suite 1100 ",Carrollton,TX,75007,DC948398,MA Debt Collector
89599,"Southwest Stage Funding, LLC",,2701 E. Insight Way Suite 150,Chandler,AZ,85286,DC89599,MA Debt Collector
2168,Specialized Loan Servicing LLC,,"6200 S. Quebec St., Suite 300 ",Greenwood Village,CO,80111,DC0851,MA Debt Collector
2168,Specialized Loan Servicing LLC,972456,"2900 S Diablo Way, Building A, Suite  100 ",Tempe,AZ,85282,DC2168,MA Debt Collector
1916692,"Spring Oaks Capital, LLC",,"1400 Crossways Blvd, Ste. 100B ",Chesapeake,VA,23320,DC1916692,MA Debt Collector
948017,"State Collection Service, Inc.",,2509 S.Stoughton Rd. ,Madison,WI,53716,DC0858,MA Debt Collector
948017,"State Collection Service, Inc.",1209554,600 Henry Avenue Suite 21 ,Beloit,WI,53511,DC948017,MA Debt Collector
948017,"State Collection Service, Inc.",1210388,628 North Street ,Geneva,IL,60134,DC948017,MA Debt Collector
